1;Авто;2015-09-08 11:39:53;2015-09-08 11:39:53
2;Бытовые услуги;2015-09-08 11:39:53;2015-09-08 11:39:53
3;Государство и общество;2015-09-08 11:39:53;2015-09-08 11:39:53
4;Дети;2015-09-08 11:39:53;2015-09-08 11:39:53
5;Домашние животные;2015-09-08 11:39:53;2015-09-08 11:39:53
6;Еда;2015-09-08 11:39:53;2015-09-08 11:39:53
7;Красота и медицина;2015-09-08 11:39:53;2015-09-08 11:39:53
8;Магазины, торговые площадки;2015-09-08 11:39:53;2015-09-08 11:39:53
9;Недвижимость;2015-09-08 11:39:53;2015-09-08 11:39:53
10;Образование;2015-09-08 11:39:53;2015-09-08 11:39:53
11;Отдых и развлечения;2015-09-08 11:39:53;2015-09-08 11:39:53
12;Спорт;2015-09-08 11:39:53;2015-09-08 11:39:53
13;Праздники;2015-09-08 11:39:53;2015-09-08 11:39:53
14;Строительство и ремонт;2015-09-08 11:39:53;2015-09-08 11:39:53
15;Связь;2015-09-08 11:39:53;2015-09-08 11:39:53
16;Транспорт;2015-09-08 11:39:53;2015-09-08 11:39:53
17;Туризм и путешествия;2015-09-08 11:39:53;2015-09-08 11:39:53
18;Финансы;2015-09-08 11:39:53;2015-09-08 11:39:53
19;B2B;2015-09-08 11:39:53;2015-09-08 11:39:53
20;Новый год;2015-09-08 11:39:53;2015-09-08 11:39:53
